Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s,
J Syed Mohammad,2011-2013,11,5,3,29,13*,14.5,26,111.53,0,0,0,4,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
VH Zol,2014-2014,3,2,0,29,16,14.5,26,111.53,0,0,0,3,1,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
TU Deshpande,2020-2025,46,8,6,28,20*,14,22,127.27,0,0,0,2,1,investigate this query
"(Chennai Super Kings, Delhi Capitals, Rajasthan Royals)",,,,,,,,,,,,,,,
SB Jakati,2009-2017,59,8,7,28,13,28,29,96.55,0,0,0,3,0,investigate this query
"(Chennai Super Kings, Gujarat Lions, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AS Joseph,2019-2024,22,7,6,27,15*,27,32,84.37,0,0,1,3,0,investigate this query
"(Gujarat Titans, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
AB Dinda,2008-2017,78,17,7,26,7,2.6,48,54.16,0,0,6,2,0,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders, Pune Warriors, Rising Pune Supergiant, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
JM Kemp,2010-2010,5,2,0,26,22,13,24,108.33,0,0,0,1,1,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
NL McCullum,2011-2011,2,2,1,26,15,26,22,118.18,0,0,0,0,1,investigate this query
(Pune Warriors),,,,,,,,,,,,,,,
DJ Malan,2021-2021,1,1,0,26,26,26,26,100,0,0,0,1,1,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
AS Rajpoot,2013-2020,29,7,2,26,8,5.2,41,63.41,0,0,0,2,1,investigate this query
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
AS Roy,2019-2025,12,7,3,26,13*,6.5,25,104,0,0,3,3,0,investigate this query
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
PJ Sangwan,2008-2022,42,15,7,26,6*,3.25,44,59.09,0,0,4,1,0,investigate this query
"(Delhi Daredevils, Gujarat Lions, Gujarat Titans, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
TL Seifert,2021-2022,3,3,0,26,21,8.66,23,113.04,0,0,0,4,0,investigate this query
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,,
MD Shanaka,2023-2023,3,3,1,26,17,13,26,100,0,0,1,2,1,investigate this query
(Gujarat Titans),,,,,,,,,,,,,,,
CV Varun,2019-2025,84,13,9,26,10*,6.5,47,55.31,0,0,1,2,0,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Akash Deep,2022-2025,14,5,2,25,17,8.33,14,178.57,0,0,2,2,2,investigate this query
"(Lucknow Super Giants, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
S Chanderpaul,2008-2008,3,3,0,25,16,8.33,31,80.64,0,0,0,4,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
A Choudhary,2017-2017,5,3,2,25,15*,25,20,125,0,0,0,1,1,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
Mohsin Khan,2022-2024,24,5,2,25,13*,8.33,24,104.16,0,0,1,2,1,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
Sanvir Singh,2023-2024,6,5,3,25,8*,12.5,21,119.04,0,0,1,2,1,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
KC Cariappa,2015-2019,11,5,2,24,12*,8,21,114.28,0,0,0,0,2,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
ER Dwivedi,2016-2016,4,2,0,24,19,12,14,171.42,0,0,0,2,2,investigate this query
(Gujarat Lions),,,,,,,,,,,,,,,
MA Khote,2008-2008,4,3,1,24,9,12,22,109.09,0,0,0,2,1,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
TK Kotian,2024-2024,1,1,0,24,24,24,31,77.41,0,0,0,3,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
AJ Turner,2019-2024,6,6,1,24,16,4.8,28,85.71,0,0,3,0,2,investigate this query
"(Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,,
J Arunkumar,2008-2008,3,3,0,23,22,7.66,23,100,0,0,1,5,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
P Dubey,2020-2025,5,2,1,23,16,23,33,69.69,0,0,0,2,0,investigate this query
"(Delhi Capitals, Punjab Kings)",,,,,,,,,,,,,,,
BMAJ Mendis,2013-2013,3,3,0,23,12,7.66,27,85.18,0,0,1,0,0,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
AF Milne,2016-2022,10,6,2,23,15,5.75,29,79.31,0,0,1,0,1,investigate this query
"(Chennai Super Kings, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SW Tait,2010-2013,21,5,2,23,11,7.66,26,88.46,0,0,1,1,1,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
Umran Malik,2021-2024,26,6,4,23,19*,11.5,16,143.75,0,0,2,1,2,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SA Abbott,2015-2022,3,3,0,22,14,7.33,18,122.22,0,0,0,1,2,investigate this query
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
GB Hogg,2012-2016,21,6,3,22,13,7.33,22,100,0,0,0,1,0,investigate this query
"(Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
KL Nagarkoti,2020-2022,12,7,3,22,8*,5.5,33,66.66,0,0,2,1,0,investigate this query
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,,
AU Rashid,2021-2023,3,2,0,22,18,11,16,137.5,0,0,0,2,1,investigate this query
"(Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Sediqullah Atal,2025-2025,1,1,0,22,22,22,16,137.5,0,0,0,0,2,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
HE van der Dussen,2022-2022,3,3,1,22,12*,11,24,91.66,0,0,0,2,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
Yudhvir Singh,2023-2025,9,4,0,22,14,5.5,16,137.5,0,0,1,1,2,investigate this query
"(Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,,
DE Bollinger,2010-2012,27,4,3,21,16*,21,23,91.3,0,0,0,1,1,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
B Indrajith,2022-2022,3,3,0,21,15,7,30,70,0,0,1,2,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
S Kaul,2013-2022,55,12,8,20,7*,5,36,55.55,0,0,2,1,0,investigate this query
"(Delhi Daredevils, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
NJ Maddinson,2014-2015,3,3,0,20,12,6.66,21,95.23,0,0,0,4,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
BKG Mendis,2025-2025,1,1,0,20,20,20,10,200,0,0,0,1,2,investigate this query
(Gujarat Titans),,,,,,,,,,,,,,,
M Muralidaran,2008-2014,66,9,3,20,6,3.33,30,66.66,0,0,2,1,0,investigate this query
"(Chennai Super Kings, Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Noor Ahmad,2023-2025,37,13,5,20,7*,2.5,35,57.14,0,0,2,2,0,investigate this query
"(Chennai Super Kings, Gujarat Titans)",,,,,,,,,,,,,,,
RR Raje,2008-2009,10,5,4,20,11*,20,18,111.11,0,0,0,1,1,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
C Sakariya,2021-2025,20,8,2,20,7,3.33,31,64.51,0,0,1,3,0,investigate this query
"(Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
AC Thomas,2011-2012,15,4,2,20,12,10,19,105.26,0,0,0,1,1,investigate this query
(Pune Warriors),,,,,,,,,,,,,,,
RA Bawa,2022-2025,5,3,1,19,11,9.5,18,105.55,0,0,1,1,0,investigate this query
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
R Bishnoi,2009-2009,3,3,0,19,18,6.33,17,111.76,0,0,1,1,2,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
NT Ellis,2021-2025,17,5,1,19,12,4.75,25,76,0,0,2,0,1,investigate this query
"(Chennai Super Kings, Punjab Kings)",,,,,,,,,,,,,,,
Y Gnaneswara Rao,2011-2011,2,1,0,19,19,19,17,111.76,0,0,0,3,0,investigate this query
(Kochi Tuskers Kerala),,,,,,,,,,,,,,,
Gulbadin Naib,2024-2024,2,1,0,19,19,19,15,126.66,0,0,0,1,1,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
JR Hazlewood,2020-2025,39,7,7,19,7*,-,29,65.51,0,0,0,1,0,investigate this query
"(Chennai Super Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
DR Martyn,2010-2010,1,1,0,19,19,19,24,79.16,0,0,0,1,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
A Mukund,2008-2013,3,2,0,19,19,9.5,22,86.36,0,0,1,1,0,investigate this query
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
P Ray Barman,2019-2019,1,1,0,19,19,19,24,79.16,0,0,0,2,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
P Sahu,2016-2016,5,2,1,19,18*,19,13,146.15,0,0,0,1,1,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
R Shukla,2012-2014,7,4,3,19,14,19,23,82.6,0,0,0,2,0,investigate this query
"(Delhi Daredevils, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
T Banton,2020-2020,2,2,0,18,10,9,20,90,0,0,0,1,1,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
SD Chauhan,2024-2024,3,3,0,18,9,6,15,120,0,0,1,1,1,investigate this query
(Royal Challengers Bengaluru),,,,,,,,,,,,,,,
BJ Haddin,2011-2011,1,1,0,18,18,18,11,163.63,0,0,0,2,1,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Harmeet Singh,2009-2013,27,6,2,18,14,4.5,12,150,0,0,2,3,0,investigate this query
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,,
DS Lehmann,2008-2008,2,2,0,18,17,9,18,100,0,0,0,3,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
Naveen-ul-Haq,2023-2024,18,6,5,18,13,18,25,72,0,0,0,2,0,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
KMA Paul,2019-2019,8,6,1,18,7,3.6,24,75,0,0,2,1,1,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
R Sai Kishore,2022-2025,25,5,1,18,13,4.5,16,112.5,0,0,0,0,2,investigate this query
(Gujarat Titans),,,,,,,,,,,,,,,
Sumit Kumar,2024-2024,4,3,1,18,9*,9,24,75,0,0,0,2,1,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
PV Tambe,2013-2016,33,6,4,18,7*,9,39,46.15,0,0,0,1,0,investigate this query
"(Gujarat Lions, Rajasthan Royals)",,,,,,,,,,,,,,,
JJ van der Wath,2011-2011,3,3,1,18,14*,9,16,112.5,0,0,1,1,1,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
Parvez Rasool,2013-2016,11,5,3,17,10,8.5,20,85,0,0,0,1,0,investigate this query
"(Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JA Richardson,2021-2024,4,3,0,17,15,5.66,26,65.38,0,0,1,2,0,investigate this query
"(Delhi Capitals, Punjab Kings)",,,,,,,,,,,,,,,
M Theekshana,2022-2025,38,6,3,17,7*,5.66,34,50,0,0,1,0,1,investigate this query
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
YV Dhull,2023-2023,4,3,0,16,13,5.33,23,69.56,0,0,0,1,0,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
AJ Hosein,2023-2023,1,1,1,16,16*,-,10,160,0,0,0,1,1,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
A Kamboj,2024-2025,11,6,4,16,5*,8,14,114.28,0,0,1,2,0,investigate this query
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
CK Kapugedera,2008-2008,5,3,0,16,8,5.33,23,69.56,0,0,1,0,0,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
PP Ojha,2008-2015,92,23,11,16,3,1.33,45,35.55,0,0,6,0,0,investigate this query
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
KS Sharma,2022-2023,3,3,0,16,9,5.33,25,64,0,0,0,1,0,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
SD Lad,2019-2019,1,1,0,15,15,15,13,115.38,0,0,0,1,1,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
C Madan,2010-2010,1,1,0,15,15,15,19,78.94,0,0,0,3,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
VY Mahesh,2008-2012,18,5,3,15,6*,7.5,27,55.55,0,0,0,0,0,investigate this query
"(Chennai Super Kings, Delhi Daredevils)",,,,,,,,,,,,,,,
GR Napier,2009-2009,1,1,0,15,15,15,16,93.75,0,0,0,1,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
J Overton,2025-2025,3,2,2,15,11*,-,7,214.28,0,0,0,1,1,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
JL Pattinson,2020-2020,10,2,1,15,11,15,13,115.38,0,0,0,2,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
I Udana,2020-2020,10,4,1,15,10*,5,11,136.36,0,0,1,1,1,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
Virat Singh,2021-2021,3,2,0,15,11,7.5,26,57.69,0,0,0,1,0,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
A Zampa,2016-2025,22,5,0,15,7,3,24,62.5,0,0,1,1,0,investigate this query
"(Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
FA Allen,2021-2022,5,4,2,14,8,7,19,73.68,0,0,0,1,0,investigate this query
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
F Behardien,2016-2016,3,3,1,14,9*,7,13,107.69,0,0,1,2,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
MP Breetzke,2025-2025,1,1,0,14,14,14,12,116.66,0,0,0,1,1,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
MDKJ Perera,2013-2013,2,2,0,14,14,7,13,107.69,0,0,1,3,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
V Vyshak,2023-2025,16,4,2,14,13*,7,12,116.66,0,0,2,0,1,investigate this query
"(Punjab Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
KJ Abbott,2016-2016,5,3,2,13,12*,13,8,162.5,0,0,1,0,1,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
S Badree,2013-2017,12,5,0,13,8,2.6,23,56.52,0,0,2,0,0,investigate this query
"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Kartik Tyagi,2020-2024,20,7,3,13,7,3.25,16,81.25,0,0,1,1,0,investigate this query
"(Gujarat Titans, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Mustafizur Rahman,2016-2025,60,10,8,13,8*,6.5,24,54.16,0,0,1,0,1,investigate this query
"(Chennai Super Kings, Delhi Capitals, Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DT Patil,2008-2008,2,2,0,13,9,6.5,13,100,0,0,0,1,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
DR Shorey,2018-2019,2,2,0,13,8,6.5,17,76.47,0,0,0,0,1,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
AS Tendulkar,2023-2024,5,1,0,13,13,13,9,144.44,0,0,0,0,1,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
AR Bawne,2017-2017,1,1,1,12,12*,-,12,100,0,0,0,1,0,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
DAJ Bracewell,2012-2012,1,1,1,12,12*,-,9,133.33,0,0,0,1,0,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
AA Chavan,2011-2013,13,3,1,12,7*,6,11,109.09,0,0,0,2,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
Karanveer Singh,2014-2015,9,4,3,12,5*,12,17,70.58,0,0,0,1,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
K Kartikeya,2022-2025,16,4,0,12,6,3,17,70.58,0,0,0,1,0,investigate this query
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
Mujeeb Ur Rahman,2018-2025,20,7,4,12,10*,4,15,80,0,0,2,2,0,investigate this query
"(Kings XI Punjab, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DG Nalkande,2022-2024,6,2,0,12,12,6,12,100,0,0,1,0,1,investigate this query
(Gujarat Titans),,,,,,,,,,,,,,,
T Thushara,2009-2010,6,4,2,12,8,6,18,66.66,0,0,0,0,0,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
K Upadhyay,2012-2013,3,2,2,12,11*,-,9,133.33,0,0,0,0,1,investigate this query
(Pune Warriors),,,,,,,,,,,,,,,
MA Wood,2018-2023,5,3,1,12,10*,6,8,150,0,0,0,1,1,investigate this query
"(Chennai Super Kings, Lucknow Super Giants)",,,,,,,,,,,,,,,
XC Bartlett,2025-2025,4,1,0,11,11,11,15,73.33,0,0,0,1,0,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
T Henderson,2009-2009,2,2,0,11,11,5.5,16,68.75,0,0,1,0,1,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
T Kohli,2008-2009,4,4,1,11,7,3.66,19,57.89,0,0,0,0,1,investigate this query
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
M Ntini,2008-2008,9,2,1,11,11,11,18,61.11,0,0,0,2,0,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
DNT Zoysa,2008-2008,3,2,1,11,10*,11,9,122.22,0,0,0,1,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
RK Bhui,2018-2024,4,4,0,10,7,2.5,26,38.46,0,0,2,0,0,investigate this query
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
D du Preez,2009-2009,2,1,0,10,10,10,13,76.92,0,0,0,0,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
Mukesh Kumar,2023-2025,32,5,4,10,6*,10,18,55.55,0,0,0,0,0,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
AG Murtaza,2010-2013,12,3,2,10,5,10,14,71.42,0,0,0,1,0,investigate this query
"(Mumbai Indians, Pune Warriors)",,,,,,,,,,,,,,,
TD Paine,2011-2011,2,2,0,10,8,5,26,38.46,0,0,0,0,0,investigate this query
(Pune Warriors),,,,,,,,,,,,,,,
KAJ Roach,2010-2010,2,1,0,10,10,10,9,111.11,0,0,0,1,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
JE Root,2023-2023,3,1,0,10,10,10,15,66.66,0,0,0,1,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
SMSM Senanayake,2013-2013,8,4,3,10,7*,10,17,58.82,0,0,0,0,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Simarjeet Singh,2022-2025,14,6,3,10,3*,3.33,15,66.66,0,0,2,0,0,investigate this query
"(Chennai Super Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
BB Sran,2015-2019,24,9,8,10,3*,10,14,71.42,0,0,0,0,0,investigate this query
"(Kings XI Punjab, Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
X Thalaivan Sargunam,2013-2013,1,1,0,10,10,10,17,58.82,0,0,0,0,0,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
J Theron,2010-2015,10,4,2,10,7*,5,12,83.33,0,0,1,1,0,investigate this query
"(Deccan Chargers, Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
VG Arora,2022-2025,32,10,6,9,2*,2.25,24,37.5,0,0,3,0,0,investigate this query
"(Kolkata Knight Riders, Punjab Kings)",,,,,,,,,,,,,,,
D Ferreira,2024-2025,3,3,0,9,7,3,14,64.28,0,0,0,0,0,investigate this query
"(Delhi Capitals, Rajasthan Royals)",,,,,,,,,,,,,,,
SM Harwood,2009-2009,3,2,2,9,6*,-,14,64.28,0,0,0,0,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
AA Kulkarni,2024-2024,2,2,0,9,9,4.5,8,112.5,0,0,1,2,0,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
PWA Mulder,2025-2025,1,1,0,9,9,9,11,81.81,0,0,0,1,0,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
AA Noffke,2008-2008,1,1,0,9,9,9,10,90,0,0,0,1,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
M Prasidh Krishna,2018-2025,66,10,7,9,4*,3,24,37.5,0,0,2,0,0,investigate this query
"(Gujarat Titans, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
L Wood,2024-2024,2,1,1,9,9*,-,3,300,0,0,0,0,1,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
P Chopra,2018-2019,2,1,0,8,8,8,6,133.33,0,0,0,2,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
Jaskaran Singh,2009-2010,8,5,4,8,4*,8,11,72.72,0,0,0,0,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
SH Johnson,2024-2025,9,5,5,8,5*,-,11,72.72,0,0,0,1,0,investigate this query
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,,
CK Langeveldt,2009-2011,7,2,0,8,8,4,9,88.88,0,0,1,0,1,investigate this query
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
OC McCoy,2022-2023,8,1,0,8,8,8,5,160,0,0,0,0,1,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
CJ McKay,2012-2012,2,1,0,8,8,8,15,53.33,0,0,0,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
A Madhwal,2023-2025,17,2,2,8,4*,-,14,57.14,0,0,0,0,0,investigate this query
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
KT Maphaka,2024-2025,4,1,1,8,8*,-,2,400,0,0,0,2,0,investigate this query
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
TS Mills,2017-2022,10,5,1,8,6,2,14,57.14,0,0,2,0,1,investigate this query
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
JPR Scantlebury-Searles,2018-2018,4,2,1,8,6*,8,6,133.33,0,0,0,0,1,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
TM Srivastava,2008-2009,7,3,2,8,7,8,11,72.72,0,0,0,0,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
Ankit Soni,2017-2017,7,3,1,7,7*,3.5,9,77.77,0,0,2,0,1,investigate this query
(Gujarat Lions),,,,,,,,,,,,,,,
UA Birla,2013-2013,2,1,0,7,7,7,14,50,0,0,0,1,0,investigate this query
(Pune Warriors),,,,,,,,,,,,,,,
AN Ghosh,2009-2009,2,2,0,7,7,3.5,8,87.5,0,0,1,1,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
I Malhotra,2011-2011,1,1,1,7,7*,-,4,175,0,0,0,1,0,investigate this query
(Deccan Chargers),,,,,,,,,,,,,,,
VS Malik,2009-2014,13,2,1,7,6,7,7,100,0,0,0,1,0,investigate this query
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
Pankaj Singh,2008-2012,17,5,3,7,4*,3.5,12,58.33,0,0,1,0,0,investigate this query
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
IS Sodhi,2018-2019,8,2,0,7,6,3.5,17,41.17,0,0,0,0,0,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
Suryansh Shedge,2025-2025,5,3,0,7,4,2.33,11,63.63,0,0,0,0,0,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
V Viyaskanth,2024-2024,3,1,1,7,7*,-,5,140,0,0,0,0,0,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
JP Behrendorff,2019-2023,17,2,2,6,3*,-,9,66.66,0,0,0,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
BA Bhatt,2011-2013,17,2,1,6,6*,6,7,85.71,0,0,1,0,1,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
DM Bravo,2017-2017,1,1,1,6,6*,-,5,120,0,0,0,1,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
PSP Handscomb,2016-2016,2,1,0,6,6,6,12,50,0,0,0,0,0,investigate this query
(Rising Pune Supergiants),,,,,,,,,,,,,,,
SB Joshi,2008-2008,4,2,0,6,3,3,14,42.85,0,0,0,0,0,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
R Minz,2025-2025,2,2,0,6,3,3,15,40,0,0,0,0,0,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
Mukesh Choudhary,2022-2025,16,2,1,6,4,6,6,100,0,0,0,1,0,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
SS Shaikh,2009-2009,2,1,0,6,6,6,7,85.71,0,0,0,1,0,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
P Awana,2012-2014,33,7,5,5,4*,2.5,14,35.71,0,0,2,0,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
Fazalhaq Farooqi,2022-2025,12,3,3,5,2*,-,15,33.33,0,0,0,0,0,investigate this query
"(Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KMDN Kulasekara,2011-2012,6,1,1,5,5*,-,3,166.66,0,0,0,1,0,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
B Laughlin,2013-2018,9,4,2,5,4*,2.5,13,38.46,0,0,2,0,0,investigate this query
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
Prince Yadav,2025-2025,6,2,2,5,4*,-,10,50,0,0,0,0,0,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
Shivam Sharma,2014-2015,5,2,1,5,4,5,3,166.66,0,0,0,1,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
SJ Srivastava,2010-2011,14,4,3,5,3*,5,5,100,0,0,1,0,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
B Stanlake,2017-2018,6,1,1,5,5*,-,2,250,0,0,0,1,0,investigate this query
