Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s,
VR Iyer,2021-2025,62,56,7,1468,104,29.95,1069,137.32,1,12,2,136,65,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
S Badrinath,2008-2013,95,67,20,1441,71*,30.65,1212,118.89,0,11,6,154,28,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
AK Markram,2021-2025,57,55,9,1440,68*,31.3,1066,135.08,0,10,2,111,57,investigate this query
"(Lucknow Super Giants, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
EJG Morgan,2010-2021,83,75,13,1405,68*,22.66,1146,122.6,0,5,6,112,64,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
BJ Hodge,2008-2014,66,63,21,1400,73,33.33,1118,125.22,0,6,3,122,43,investigate this query
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
SC Ganguly,2008-2012,59,56,3,1349,91,25.45,1263,106.8,0,7,4,137,42,investigate this query
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
CA Lynn,2012-2021,42,42,3,1329,93*,34.07,945,140.63,0,10,3,132,66,investigate this query
"(Deccan Chargers, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
DJ Hussey,2008-2014,64,61,12,1322,71,26.97,1075,122.97,0,5,4,90,60,investigate this query
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Prabhsimran Singh,2019-2025,51,51,0,1305,103,25.58,859,151.92,1,7,4,134,71,investigate this query
"(Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,,
MR Marsh,2010-2025,55,49,2,1292,117,27.48,904,142.92,1,9,7,104,75,investigate this query
"(Deccan Chargers, Delhi Capitals, Lucknow Super Giants, Pune Warriors, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
V Shankar,2014-2025,78,65,18,1233,69*,26.23,950,129.78,0,7,2,88,48,investigate this query
"(Chennai Super Kings, Delhi Daredevils, Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KM Jadhav,2010-2023,95,81,27,1208,69,22.37,981,123.13,0,4,6,102,40,investigate this query
"(Chennai Super Kings, Delhi Daredevils, Kochi Tuskers Kerala, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MM Ali,2018-2025,73,59,6,1167,93,22.01,835,139.76,0,6,6,95,67,investigate this query
"(Chennai Super Kings, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
TM Dilshan,2008-2013,52,50,7,1153,76*,26.81,1007,114.49,0,9,6,140,24,investigate this query
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
TM Head,2016-2025,38,37,4,1146,102,34.72,674,170.02,1,8,5,126,55,investigate this query
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
IK Pathan,2008-2017,103,82,29,1139,60,21.49,946,120.4,0,1,3,87,37,investigate this query
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Tewatia,2014-2025,108,77,29,1112,53,23.16,811,137.11,0,1,3,90,54,investigate this query
"(Delhi Capitals, Delhi Daredevils, Gujarat Titans, Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
RM Patidar,2021-2025,42,38,2,1111,112*,30.86,720,154.3,1,9,1,76,68,investigate this query
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
ML Hayden,2008-2010,32,32,2,1107,93,36.9,805,137.51,0,8,1,121,44,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
RK Singh,2018-2025,59,51,15,1099,67*,30.52,757,145.17,0,4,0,87,56,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
M Vohra,2013-2023,56,51,2,1083,95,22.1,829,130.63,0,3,3,104,43,investigate this query
"(Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DP Conway,2022-2025,29,28,3,1080,92*,43.2,773,139.71,0,11,3,116,34,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
LMP Simmons,2014-2017,29,29,2,1079,100*,39.96,852,126.64,1,11,2,109,44,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
PD Salt,2023-2025,34,34,3,1056,89*,34.06,601,175.7,0,10,3,122,56,investigate this query
"(Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
LS Livingstone,2019-2025,49,47,7,1051,94,26.27,662,158.76,0,7,3,70,75,investigate this query
"(Punjab Kings, Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
LRPL Taylor,2008-2014,55,54,14,1017,81*,25.42,822,123.72,0,3,3,66,46,investigate this query
"(Delhi Daredevils, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
KP Pietersen,2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,3,91,40,investigate this query
"(Delhi Daredevils, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MC Henriques,2009-2021,62,54,18,1000,74*,27.77,788,126.9,0,5,2,87,28,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SM Curran,2019-2025,64,53,13,997,88,24.92,731,136.38,0,6,4,85,41,investigate this query
"(Chennai Super Kings, Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,,
JM Sharma,2022-2025,55,47,8,991,85*,25.41,631,157.05,0,1,2,77,62,investigate this query
"(Punjab Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Y Venugopal Rao,2008-2014,65,54,10,985,71*,22.38,836,117.82,0,3,2,77,37,investigate this query
"(Deccan Chargers, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JA Morkel,2008-2016,91,68,28,974,73*,24.35,686,141.98,0,3,3,61,55,investigate this query
"(Chennai Super Kings, Delhi Daredevils, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
A Symonds,2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,0,74,41,investigate this query
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
A Badoni,2022-2025,56,46,10,963,74,26.75,695,138.56,0,6,2,73,38,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
CL White,2008-2013,47,45,9,954,78,26.5,755,126.35,0,6,4,76,36,investigate this query
"(Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
BA Stokes,2017-2023,45,44,6,935,107*,24.6,698,133.95,2,2,3,81,32,investigate this query
"(Chennai Super Kings, Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,,
HH Gibbs,2008-2012,36,36,4,886,69*,27.68,807,109.78,0,6,4,83,31,investigate this query
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
STR Binny,2010-2019,95,68,22,880,48*,19.13,683,128.84,0,0,7,66,35,investigate this query
"(Mumbai Indians, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
TH David,2021-2025,50,44,18,846,50*,32.53,488,173.36,0,1,3,54,60,investigate this query
"(Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
R Ashwin,2009-2025,221,98,34,833,50,13.01,705,118.15,0,1,12,64,29,investigate this query
"(Chennai Super Kings, Delhi Capitals, Kings XI Punjab, Rajasthan Royals, Rising Pune Supergiants)",,,,,,,,,,,,,,,
Harbhajan Singh,2008-2021,163,90,37,833,64,15.71,604,137.91,0,1,13,79,42,investigate this query
"(Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
MS Bisla,2010-2015,39,39,1,798,92,21,702,113.67,0,4,3,93,23,investigate this query
